标题,作者,摘要,关键词
人工智能在军事对抗中的应用进展,"张智敏,石飞飞,万月亮,徐阳,张帆,宁焕生",人工智能特别是近几年深度学习的飞速发展，深刻的影响着军事领域，并赋予现代战争智能性、交叉性和破坏性的新特点。要想在军事对抗中取胜，不仅需要机器智能，同样需要人类智慧，能在军事作战中达到人机高度协同，是实现人与机器取长补短的重要途径，也是在愈发复杂的战争形势中取得胜利的关键。本文将军事对抗中人工智能的应用作为切入点，罗列了代表性国家在军事领域对人工智能的重视程度，从对抗策略和物联网三层架构两大角度对发展现状进行总结，同时指出在目前军事领域使用人工智能存在的不足，对人机融合智能在军事对抗中的发展趋势进行分析，并给出可能实现的技术方案，对未来的研究方向作出展望。如何实现高度的人机融合，从而获得“1+1>2”的良好效果，是人工智能在军事对抗中的下一步研究工作。,"人工智能,军事对抗,物联网,人机融合智能,技术方案"
神经形态硬件驱动的环境交互人工智能,"张涛,李子昂,陈吉堃,张海天",在过去的几十年里，人工智能（AI）技术迅速发展. 从完成简单任务的自动化设备到具有一定学习能力的智能机器人，AI正以前所未有的速度改变着世界. 但真正的智能不仅仅在于高效处理大量数据和执行预设任务，更在于与环境的深度互动和自适应决策等能力. 这就要求AI系统突破现有模式的多重限制，例如离散符号处理与物理世界连续性之间的根本矛盾，固定特征空间与开放环境无限可能性的相互冲突，以及静态部署方式与动态演化需求的彼此割裂等问题，最终实现自主感知周围环境，主动适应环境变化并完成独立学习和决策，摆脱对人工干预高度的依赖. 本文针对AI与环境的交互技术进行简要综述，讨论当前的进展并展望未来AI系统在环境互动中的创新和应用，以及相应电子材料的发展和未来挑战.,"人工智能,环境交互,硬件自适应,神经形态器件,神经网络"
在管道支吊架CAD中采用人工智能技术,余国海,"本文介绍了用TURBOPROLOG语言将人工智能技术用于吊架CAD系统,其中关于知识库的设计和知识库的搜索等问题,还用源程序作了详细说明。","计算机辅助设计,专家系统辅助设计,人工智能,计算机应用"
面向6G的空天地一体化网络：人工智能赋能优化机制综述,"李琳佩, 张海君(通讯作者), 孙春蕾, 管婉青, 张美杰","随着6G通信技术的发展，空天地一体化网络（Space-Air-Ground Integrated Network, SAGIN）在应急通信、环境监测、智能交通等领域展现出巨大的潜力，然而SAGIN具有异构结构、链路动态性高、资源分布广泛等特征，给网络的高效管理与优化带来巨大的挑战。近年来，人工智能（Artificial Intelligence, AI）技术的快速发展与在通信网络中的应用，为SAGIN的智能演进提供了新契机。本文首先系统介绍SAGIN网络架构的基本组成与关键特征，并梳理当前主流AI技术的技术原理与适配优势。其次，本文深入探讨了AI技术在SAGIN中智能资源管理、移动性管理、空中平台路径规划、路由与链路选择优化、网络切片与资源编排、任务卸载与计算协同等典型场景中的应用与最新进展。最后，本文总结了AI技术应用在SAGIN网络中面临的挑战并展望了AI与SAGIN融合发展的未来方向。本文总结了AI技术在SAGIN网络中应用的优势与进展，旨在为AI赋能的SAGIN研究与应用发展提供技术参考。","6G,空天地一体化网络,人工智能,深度强化学习,资源管理"
锻件计算机辅助工艺规程设计,"许耀昌,苏红","以人工智能和计算机辅助设计技术为基础,锻件的计算机辅助工艺规程设计采用LISP语言,并使用人工移植方法把锻造工序中的经验用产生式规则表达.推理过程中采用了逆向推理方法.计算结果与实际吻合.","人工智能,计算机辅助设计,锻件/计算机辅助工艺规程设计"
油气资源开发的大数据智能平台及应用分析,"宋洪庆,都书一,周园春,王宇赫,王九龙",油气资源大数据智能平台的总体框架应以数据资源为基础、大数据平台算力为支撑、人工智能算法为核心，面向油气行业生产需求，构建集勘探、开发、生产数据于一体的油气数据资源池，通过数据清洗与融合提升数据质量，整合物理模拟与数据挖掘等手段，实现服务功能模块化，并在PC端、管控大屏、手机移动APP等多维平台实现智能监测、预警与展示。通过对深度学习等人工智能方法在油气工业领域的应用案例分析，表明其具有较好的应用前景。未来石油公司应与科研院所通力合作，挖掘石油工业数据的巨大潜能，实现降本增效，建设全新的智能油气工业生态圈，完成产业升级。,"石油,天然气,大数据,人工智能,深度学习,机器学习"
高炉异常炉况诊断专家系统,"杨天钧,张开旗,周渝生,左广庆,徐金梧","高炉是一个包括复杂物理化学变化和传输过程的高温反应器。由局部反应和区域热平衡、物料平衡建立的机理模型难以适应炉况的迅速变化。用模糊数学理论进行不确定知识的处理,构成了知识库和推理机,从而建立了人工智能高炉异常炉况诊断专家系统,避免了人工可能漏看忽略的仪表微小变化所造成炉况判断的偏差,因而有较高的命中率。","高炉,专家系统,人工智能,模糊数学"
无人集群系统深度强化学习控制研究进展,"梁鸿涛,王耀南,华和安,钟杭,郑成宏,曾俊豪,梁嘉诚,李政辰",随着无人集群在物流运输、农业管理、军事行动等场景的试验和应用，其面临的作业环境和任务内容日趋复杂，亟需设计效率更高、泛化能力更强、适应性更好的控制算法. 将人工智能引入到无人集群系统控制的研究中，能够大幅提升现有无人集群的能力，完成复杂的作业任务. 深度强化学习具有深度学习和强化学习的优点，无人集群系统深度强化学习控制研究受到了国内外科研人员的广泛关注，涌现出许多标志性成果. 本文将从原理、特点等方面阐述深度强化学习概念，深入分析深度强化学习的多种典型算法，并讨论无人机集群的各类控制需求，进而介绍深度强化学习在无人机集群控制领域的典型研究成果，最后针对该领域研究成果的落地转化总结了应用前景和面临的挑战.,"无人集群,集群控制,深度强化学习,多智能体,人工智能,集群智能"
大语言模型研究现状与趋势,"王耀祖,李擎,戴张杰,徐越",在过去20年中，语言建模（Language models，LM）已经成为一种主要方法，用于语言理解和生成，同时作为自然语言处理（Natural language processing，NLP）领域下游的关键技术受到广泛关注. 近年来，大语言模型（Large language models，LLMs），例如ChatGPT等技术，取得了显著进展，对人工智能乃至其他领域的变革和发展产生了深远的影响. 鉴于LLMs迅猛的发展，本文首先对LLMs相关技术架构和模型规模等方面的演进历程进行了全面综述，总结了模型训练方法、优化技术以及评估手段. 随后，分析了LLMs在教育、医疗、金融、工业等领域的应用现状，同时讨论了它们的优势和局限性. 此外，还探讨了大语言模型针对社会伦理、隐私和安全等方面引发的安全性与一致性问题及技术措施. 最后，展望了大语言模型未来的研究趋势，包括模型的规模与效能、多模态处理、社会影响等方面的发展方向. 本文通过全面分析当前研究状况和未来走向，旨在为研究者提供关于大语言模型的深刻见解和启发，以推动该领域的进一步发展.,"大语言模型(LLMs),自然语言处理,深度学习,人工智能,ChatGPT"
人工心理学——关于更接近人脑工作模式的科学,王志良,"在人工智能的基础上,首次提出人工心理理论的概念,即:利用信息科学的研究方法,对人的心理活动的更全面内容(尤其是情感、意志、性格、创造等)的人工机器实现.探索性提出了人工心理学的定义、目的、法则、研究内容、应用范围、研究方法等问题,试图确立人工心理学理论结构体系,有利于人工智能的研究走向更深、更高层次.","人工心理,拟人控制,计算机软件"
高炉泥炮打泥机构智能型计算机辅助设计,卞致瑞,"提供了一种机械设备的智能型计算机辅助设计系统,它的特点在于,根据设备设计各个阶段的特点,分别采用了智能推理、类比设计的人工智能选型、机械零件常规的设计计算及零件的优化设计.","高炉泥炮,机械设计"
神经网络专家系统的状态识别、知识表示和求解策略,"郑德玲,李育晖","将神经网络与人工智能技术相结合,提出了1种新型的知识表示的形式化描述和知识单元。知识通过模式分类导入,并用IMSBP和(B-B)BP调节2种不同类型的权。在此基础上提出了神经网络的双向求解策略。以加热炉控制验证了其可行性。","专家系统,神经网络,状态识别,自学习"
图像数据库的智能检索,"吴斌,王秉钦","提出了以人工智能思想为指导的图像数据库的智能检索方法,它利用模式识别技术和图像处理技术,同时考虑启发性知识.该方法用图像特征向量代表图像并进行聚类分析以建立图像库的检索树,应用最佳优先搜索方法在检索树上找出用户满意的图像.重点探讨了如何利用专家的经验知识和通过样本训练得到启发评价函数,并推出了启发评价函数存在的条件.","图像数据库,智能检索,聚类,评价函数"
