标题,作者,摘要,关键词
基于卷积神经网络的连续语音识别,"张晴晴,刘勇,潘接林,颜永红","在语音识别中,卷积神经网络(convolutional neural networks,CNNs)相比于目前广泛使用的深层神经网络(deep neural network,DNNs),能在保证性能的同时,大大压缩模型的尺寸.本文深入分析了卷积神经网络中卷积层和聚合层的不同结构对识别性能的影响情况,并与目前广泛使用的深层神经网络模型进行了对比.在标准语音识别库TIMIT以及大词表非特定人电话自然口语对话数据库上的实验结果证明,相比传统深层神经网络模型,卷积神经网络明显降低模型规模的同时,识别性能更好,且泛化能力更强.","卷积神经网络,连续语音识别,权值共享,聚合,泛化性"
基于卷积神经网络的反无人机系统声音识别方法,"薛珊,李广青,吕琼莹,毛逸维",针对如何识别无人机的问题，提出了一种基于卷积神经网络的声音识别无人机的方法。首先，对100 m范围内的无人机、鸟和人的声音进行采集、预处理和提取MFCC+GFCC特征值，将其特征参数作为卷积神经网络学习和识别的数据集；然后分别设计了支持向量机和卷积神经网络两种模型对无人机等声音进行识别实验。实验结果表明，运用支持向量机识别无人机的准确率为91.9%，卷积神经网络识别无人机的准确率为96.5%。为了进一步验证设计的卷积神经网络的识别能力，在部分UrbanSound8K数据集上进行测试，准确率达到90%。实验结果表明运用卷积神经网络识别无人机具有可行性，且识别性能优于支持向量机。,"无人机,声音检测,公共安全,MFCC特征值,GFCC特征值,卷积神经网络"
卷积神经网络在矿区预测中的研究与应用,"袁传新,贾东宁,周生辉",在研究富钴结壳高产区地形特征基础上，以富钴结壳站点地理坐标为中心，获得了一平方公里的海拔高度数值矩阵作为地形特征。使用卷积神经网络的分析方法对数值矩阵进行训练，学习坡度和平整度等区域特征，将富钴结壳站点地形和其他海底地形进行区分。依据训练后获得的模型，对富钴结壳高产区进行预测，取得了较好的预测效果，结合其他因素的影响，可以提高结壳靶区选取的精准度。,"富钴结壳,海底地形,数值矩阵,卷积神经网络,矿区预测"
基于深度卷积神经网络的地磁导航方向适配性分析,"肖晶,齐晓慧,段修生,王俭臣","针对地磁导航方向适配性分析时人工提取的特征主观性较强且难以表达深层的结构性特征的问题,提出一种基于深度卷积神经网络(convolutional neural network,CNN)的地磁导航方向适配性分析方法.首先,利用Gabor滤波器的方向选择特性建立了6个典型方向的适配特征图;然后,设计了卷积神经网络对深层次的方向适配特征进行提取,并通过混和粒子群算法(hybrid particle swarm optimization,HPSO)对卷积神经网络的训练参数进行优选;最后,通过仿真实验对所提方法进行了验证.结果表明,该方法可有效避免复杂的计算以及人工特征提取的盲目性,实现了地磁导航方向适配性分析的自动化,且所提方法的准确率高于传统的BP网络和支持向量机,对地磁导航和航迹规划具有指导意义.","地磁导航,适配性分析,方向适配性,卷积神经网络,Gabor滤波器"
一种基于卷积神经网络的CSI指纹室内定位方法,"刘帅,王旭东,吴楠",针对提高Wi-Fi指纹室内定位技术性能，提出了一种基于卷积神经网络（Convolutional neural networks，CNN）的信道状态信息（Channel state information，CSI）指纹室内定位方法。在离线阶段联合定位环境参考点的幅度差和相位差信息，利用CNN进行训练，保存训练后的CNN网络模型作为指纹；在线阶段，针对不同实验场景，对测试数据的幅度差信息和相位差信息进行加权处理，引入改进的基于概率的指纹匹配算法，利用待定位点的CSI信息并通过CNN网络模型预测待定位点的坐标。此外，为增强算法普适性，针对复杂室内场景，提出了双节点定位方案来提高定位精度。在廊厅和实验室室内两种不同定位场景进行了实验，信息联合定位算法分别获得了24.7 cm和48.1 cm的平均定位误差，验证了基于CNN的CSI幅度差和相位差联合定位算法的有效性。,"室内定位,指纹定位,信道状态信息,深度学习,卷积神经网络"
基于3D卷积神经网络的膏体屈服应力预测,"刘泽民,程海勇,毛明发,李在利,吴顺川,姜关照,孙伟,刘伟铧",膏体流变性能是膏体充填技术重要指标，是金属矿膏体充填工艺流程的重要工程参数. 本文提出一种基于3D卷积神经网络的膏体屈服应力预测方法，通过制定图像采集标准并研发图像采集装置采集图像数据集. 经Sobel算子实现膏体边缘检测、全图缩小等预处理，得到膏体图像数据集. 采用十折交叉验证方法划分数据集，避免因单次随机划分造成的偶然误差. 以膏体图像–屈服应力数据集为基础，利用3D卷积神经网络模型提取膏体纹理特征和时序信息等，又通过引入直方图均衡化算法的图像增强策略减少环境因素干扰，提高模型稳健性. 利用预处理后的数据集在3D卷积神经网络模型上做训练和测试，得到模型损失值曲线图和混淆矩阵. 将屈服应力模型预测结果进行分析，又引入卷积注意力机制嵌入到卷积神经网络实现模型优化，并对模型参数进行调整，模型预测平均准确率从93.26%提升至98.19%，论证了基于3D卷积神经网络的膏体屈服应力预测方法可行性. 经图像增强处理的数据集应用到各模型中，模型预测平均准确率均提升3%以上. 相比传统膏体流变测量方式，解决了传统膏体屈服应力测量操作复杂、外部因素扰动大、工程现场难以开展等问题.,"膏体充填,流变性能,3D卷积神经网络,屈服应力,预测"
基于一维卷积神经网络的儿童睡眠分期,"许力,吴云肖,肖冰,许志飞,张远",高质量睡眠与儿童的身体发育、认知功能、学习和注意力密切相关，由于儿童睡眠障碍的早期症状不明显，需要进行长期监测，因此急需找到一种适用于儿童睡眠监测，且能够提前预防和诊断此类疾病的方法。多导睡眠图(Polysomnography，PSG)是临床指南推荐的睡眠障碍基本检测方法，通过观察PSG各睡眠期间的变化和规律，对睡眠质量评估和睡眠障碍识别具有基础作用。本文对儿童睡眠分期进行了研究，利用多导睡眠图记录的单通道脑电信号，在Alexnet的基础上，用一维卷积代替二维卷积，提出一种1D-CNN结构，由5个卷积层、3个池化层和3个全连接层组成，并在1D-CNN中添加了批量归一化层（Batch normalization layer），保持卷积核的大小保持不变。针对数据集少的情况，采用了重叠的方法对数据集进行了扩充。实验结果表明，该模型儿童睡眠分期的准确率为84.3%。通过北京市儿童医院的PSG数据获得的归一化混淆矩阵，可以看出，Wake、N2、N3和REM期睡眠的分类性能很好。对于N1期睡眠，存在将N1期睡眠被误分类为Wake、N2和REM期睡眠的情况，因此以后的工作应重点提升N1期睡眠的准确性。总体而言，对于基于带有睡眠阶段标记的单通道EEG的自动睡眠分期，本文提出的1D-CNN模型可以实现针对于儿童的自动睡眠分期。在未来的工作中，仍需要研究开发更适合于儿童的睡眠分期策略，在更大数据量的基础上进行实验。,"儿童睡眠分期,多导睡眠图,卷积神经网络,Alexnet,脑电信号"
一维卷积神经网络特征提取下微震能级时序预测,"裴艳宇,杨小彬,传金平,吴学松,程虹铭,吕祥锋",微震能级随时间发生变化，高能级微震事件与冲击地压有良好的对应关系，为预测矿山微震能量时序变化，基于一维卷积神经网络（Convolutional neural networks，CNN），建立微震能级时间序列预测模型；通过模型训练，实现以前十次微震事件的能量级别作为输入来预测下一次微震事件的能量级别。由于微震样本数据类间不平衡问题，导致模型测试时将106能量级别的微震事件全部判断为105能量级别的微震事件，为进一步提高模型对106能级微震事件预测的准确率，对模型进行改进并使用混合采样方法训练改进后的模型；利用砚北煤矿250202工作面微震能级实测部分数据，改进后模型的总体测试正确率达到98.4%，其中106能量级别的微震事件测试正确率提升到99%。将模型应用于砚北煤矿250202工作面进行微震能级时序预测，模型的预测正确率整体达到93.5%，且对高能级微震事件的预测正确率接近100%。,"微震能级时序预测,一维卷积神经网络,类间不平衡,混合采样,冲击地压"
基于数据融合的智能医疗辅助诊断方法,"张桃红,范素丽,郭徐徐,李倩倩",医生诊断需要结合临床症状、影像检查等各种数据，基于此，提出了一种可以进行数据融合的医疗辅助诊断方法。将患者的影像信息（如CT图像）和数值数据（如临床诊断信息）相结合，利用结合的信息自动预测患者的病情，进而提出了基于深度学习的医疗辅助诊断模型。模型以卷积神经网络为基础进行搭建，图像和数值数据作为输入，输出病人的患病情况。该医疗辅助诊断方法能够利用更加全面的信息，有助于提高自动诊断准确率、降低诊断误差；另外，仅使用提出的医疗辅助诊断模型就可以一次性处理多种类型的数据，能够在一定程度上节省诊断时间。在两个数据集上验证了所提出方法的有效性，实验结果表明，该方法是有效的，它可以提高辅助诊断的准确性。,"图像分类,卷积神经网络,特征融合,医疗诊断,深度学习"
基于深度神经网络的点击率预测模型,"刘弘历,武森,魏桂英,李新,高晓楠","针对现有深度神经网络点击率预测模型在对用户偏好建模时，难以有效且高效地处理用户行为序列的问题，提出长短期兴趣网络（Long and short term interests network, LSTIN）模型，充分利用用户历史记录上下文信息和顺序信息，提升点击率预测精准性和训练效率。使用基于注意力机制的Transformer和激活单元结构完成用户长、短期兴趣建模，对用户短期兴趣进一步使用循环神经网络（Recurrent neural network, RNN）、卷积神经网络（Convolutional neural networks, CNN）进行处理，最后使用全连接神经网络进行预测。在亚马逊公开数据集上开展实验，将提出的模型与基于分解机的神经网络（DeepFM）、深度兴趣网络（Deep interest network, DIN）等点击率预测模型对比，结果表明提出的模型实现了考虑上下文信息和顺序信息的用户历史记录建模，接受者操作特征曲线下面积（Area under curve, AUC）指标为85.831%，相比于基础模型（BaseModel）提升1.154%，相比于DIN提升0.476%。且因区分用户长、短期兴趣，模型能够在提升预测精准性的同时保障训练效率。","点击率预测,长短期兴趣网络,深度神经网络,注意力机制,循环神经网络,卷积神经网络"
