标题,作者,摘要,关键词
基于柔性残差神经网络的滚动轴承智能故障诊断方法,"陈闯,李先锋,史建涛,岳冬冬",滚动轴承作为旋转机械的重要组成部分，其正常运行直接影响机器的使用寿命和运行状态. 为了提高滚动轴承故障诊断的准确性，本文提出一种基于动态减法平均优化器（DSABO）和平行注意力模块（PAM）的柔性残差神经网络（FResNet），用于滚动轴承故障诊断. 具体而言，首先设计一种基于卷积神经网络的柔性残差模块来构建FResNet. 该模块允许在DSABO迭代时更改卷积层数、卷积核数和跳跃连接数，从而增强网络故障特征提取能力并减少网络退化. 其次，设计具有卷积层的PAM来融合通道注意力和空间注意力输出权重，通过与滚动轴承运行数据结合，实现数据特征增强. 于是，DSABO、PAM和FResNet的集成形成了一个有效的滚动轴承故障诊断模型，命名为DSABO-PAM-FResNet. 最后，利用美国凯斯西储大学滚动轴承故障数据集验证所提DSABO-PAM-FResNet模型的可行性和有效性. 结果显示，在信噪比为–6 dB环境下所提模型对滚动轴承故障诊断的准确率为97.18%，证明所提模型具有较好的抗噪能力；在0.75 kW、1.5 kW和2.25 kW不同负载条件下，所提模型对滚动轴承故障诊断的平均准确率为98.2%，证明所提模型具有良好的变工况诊断适应能力. 与其他智能故障诊断方法的对比结果表明，所提DSABO-PAM-FResNet模型的诊断精度更高，为滚动轴承故障诊断提供了一种新的有效智能方法.,"轴承故障诊断,柔性残差神经网络,动态减法平均优化器,平行注意力模块,噪声干扰"
基于云理论的大坝整体性态评价模型,"姜振翔,陈辉,陈柏全",现有的大坝整体性态评价方法以定性评价为主，主观性较强。针对这一问题，以单测点监控模型的计算值与监测仪器实测值之间的残差为基础，提出采用多测点融合残差表征大坝整体性态。结合信息熵理论研究了不同测点的残差变化规律，从而对各测点残差的融合权重进行了分配，计算了融合残差。通过对融合残差进行分布分析，利用逆向云发生器、正向云发生器建立了表征大坝不同性态的概念云，即评价标准。在此基础上，结合云相似度算法，建立了大坝整体性态的评价模型。算例表明，该模型能够有效识别大坝监测资料中的异常测值，并能够定量、客观地评价大坝整体性态，评价结果合理、可靠，可为保障大坝安全运行提供重要参考。,"大坝,融合残差,整体性态,云理论,评价模型"
机理模型与集成学习混合驱动的机器人关节摩擦建模方法,"邓金栋,倪鹤鹏,姬帅,梁亮,邹风山,叶瑛歆",机器人一体化关节广泛应用于医疗、协作机器人等领域，其摩擦特性是影响机器人性能的关键因素. 为此，提出了一种机理模型与集成学习混合驱动的机器人关节摩擦建模方法，以提高模型精度. 首先，综合考虑转速、负载等关节摩擦特性的影响因素及其周期波动特性，基于先验知识和物理分析分别建立了伺服电机与谐波减速器的参数化机理模型，描述摩擦特性的变化规律. 然后，针对机理建模中因线性假设、忽略高阶项等产生的非线性残差，提出了基于eXtreme gradient boosting (XGBoost)的残差补偿模型建模方法，通过采用Boosting集成学习策略，提高残差补偿模型的泛化能力. 同时，采用贝叶斯优化方法进行XGBoost模型的超参数寻优，以提高模型精度和训练效率. 相比于传统的参数化机理模型，本文所提出的混合驱动模型具有更高精度. 与反向传播神经网络、支持向量机、长短时记忆神经网络等多种典型方法的对比实验表明，本文所提出的基于XGBoost的残差补偿模型具有更强的特征提取能力，能够较好地预测强非线性的波动摩擦残差，有效地提高了整体模型的精度.,"机器人关节,摩擦特性建模,混合驱动,机理模型,集成学习"
多目标局部残差平方和的定阶方法,"范玉妹,李红军","基于实践应用的需要,通过对自回归模型中的残差方差图定阶方法进行研究,提出了局部残差平方和的定阶方法.这种定阶方法把多目标规划理论与事物局部特征结合起来.实例表明:对自回归模型进行定阶时,运用局部残差平方和的定阶方法,能有效地提高自回归模型的预测精度.对自回归模型阶数的取值上限作了重新界定,并在理论上给出了证明.","局部残差平方和,多目标规划,多阶自回归"
基于灰色理论的汽车缺陷风险评估模型,"王琰,黄国忠,宋存义,王赟松,王靖","应用事件树方法确定了汽车缺陷风险传递路径,将缺陷风险转化为失效风险进行等效研究.根据汽车缺陷风险特点,建立了风险评估SPN模型,并以三维矩阵图描述汽车缺陷风险;针对汽车的不合理风险及汽车缺陷数据离散和波动的状态,提出了基于灰色理论的风险预测方法;以失效预测数据作为风险评估的风险概率预测基础,建立汽车缺陷的失效预测模型,采用残差辨识法检验模型精度.研究结果表明:在掌握实际的汽车售后零部件故障数据情况下,模型对汽车缺陷风险概率预测具有较好的适用性.","汽车,缺陷,风险评估,模型,适用性"
融合改进LSTM与XGBoost的可解释性手足口病发病预测模型,"李晓,何舒羽,彭岩,杨蓉鑫,陶璐,娄廷琪,何文琪","针对现有手足口病发病预测模型的准确率较低且可解释性较差的问题，综合多种气象因素，提出一种基于自回归差分移动平均模型（Autoregressive integrated moving average model, ARIMA）、长短时记忆网络（Long short-term memory, LSTM）、极度梯度提升树（Extreme gradient boosting, XGBoost）、灰狼优化算法（Grey wolf optimizer, GWO）、遗传算法（Genetic algorithm, GA）和沙普利加和解释（Shapley additive explanations, SHAP）的可解释性预测模型ARIMA–LSTM–XGBoost. 首先，使用ARIMA模型捕捉数据中的线性趋势进行预测并得到残差数据；其次，将残差数据输入到LSTM神经网络中，并采用GWO算法对LSTM算法中的关键参数进行自适应寻优，以捕捉复杂的非线性关系和长期依赖性；再次，利用GA算法的全局搜索能力，对XGBoost算法的参数进行优化，弥补XGBoost收敛较慢的缺陷；最后，采用误差倒数法对改进的ARIMA–LSTM与XGBoost算法进行融合，以提升模型的预测准确度，并使用SHAP方法对该模型的特征重要性进行归因和可解释性分析. 基于南方某城市2014—2019年手足口病日发病数及气象监测数据，进行了手足口病发病数预测的对比实验，结果表明，相比于其他机器学习预测模型，ARIMA–LSTM–XGBoost模型具有更高的预测准确率，能够准确地预测手足口病发病数以及高效地发现手足口病患病的潜在特征.","手足口病发病预测,可解释性,长短时记忆网络,极度梯度提升树,自回归差分移动平均模型"
一种用于脑肿瘤分割的改进U形网络,"黄敬腾,李锵,关欣",近年来卷积神经网络在生物医学图像处理中得到了广泛应用，例如从磁共振图像中准确分割脑肿瘤是临床诊断和治疗脑部肿瘤疾病的关键环节。3D U-Net因其分割效果优异受到追捧，但其跳跃连接补充的特征图为编码器特征提取后的输出特征图，并未进一步考虑到此过程中的原始细节信息丢失问题。针对这一问题，本文提出前置跳跃连接，并在此基础上设计了一种前置跳跃连接倒残差U形网络（FS Inv-Res U-Net）。首先，将前置跳跃连接用于改进DMF Net、HDC Net和3D U-Net 3个典型网络以验证其有效性和泛化性；其次，采用前置跳跃连接和倒残差结构改进3D U-Net，进而提出FS Inv-Res U-Net，最后在BraTS公开验证集上对所提网络进行验证。BraTS2018的验证结果在增强型肿瘤、全肿瘤和肿瘤核心的Dice值分别是80.23%、90.30%和85.45%，豪斯多夫距离分别是2.35、4.77和5.50 mm；BraTS2019的验证结果在增强型肿瘤、全肿瘤和肿瘤核心的Dice值分别是78.38%、89.78%和83.01%，豪斯多夫距离分别是4、5.57和6.37 mm。结果表明，FS Inv-Res U-Net取得了不输于先进网络的评价指标，能够实现脑肿瘤精确分割。,"脑肿瘤分割,3D U-Net,跳跃连接,倒残差,磁共振图像,多模态融合"
基于改进RT-DETR的有遮挡交通标志检测算法,"于天河, 杨壮壮, 胡金帅, 常梦瑶, 王文龙",针对交通标志检测中目标尺寸小、检测精度低等问题，尤其是在远距离拍摄、遮挡严重的情况下，传统检测算法往往难以准确识别交通标志。本文提出了一种基于改进RT-DETR的交通标志检测算法。首先。考虑到当前交通标志被遮挡情况下数据集的匮乏，本文自建了一个遮挡条件下的交通标志数据集。然后，在反向残差移动块中引入膨胀重参数块，构建了一个轻量级的复合膨胀残差块来替换原始主干提取网络中的BasicBlock，增强了模型的特征提取能力。最后，对RT-DETR模型的损失函数进行了优化，提出了DS-IoU联合损失函数加快收模型敛速度。实验结果表明，改进后的算法在自制数据集上的mAP为94.2%，相比于原始算法分别提升了4.7%，在公开数据集TT100K和CCTSDB2021的mAP分别为92.8%和91.7%，相比于原始算法分别提升了3.1%和2.4%，Params和FLOPs相比于原始的算法分别降低了26.0%和12.5%。证明本文提出的改进方法极大减少了计算量和参数数量，有效提升了遮挡情况下的交通标志的检测精度。,"交通标志检测,RT-DETR,遮挡数据集,轻量化,联合损失函数"
类砂岩型矿石浸出液质量浓度混沌时序重构与浸矿周期预测,"刘超,吴爱祥,尹升华,柯锦福,陈勋","以河砂、水泥和盐为原料制作类砂岩型矿石试件,采用水浸的方式对不同品位矿石进行浸矿试验,对浸出液质量浓度进行监测.考察了浸出液质量浓度和浸出率随浸矿时间演变规律;将浸出液质量浓度时间序列进行相空间重构,用混沌理论揭示了不同品位矿石浸出液质量浓度在相空间中相点距演化规律;利用灰色理论,建立了浸出液质量浓度相点距演化预测模型,确定合理的浸矿周期.研究发现:浸出液质量浓度表现出混沌特性,对其进行相空间重构处理后,细微变化特征得以放大,内部规律得以充分展现;不同品位矿石表现出不同的非线性动力学行为;利用基于相空间重构的残差修正灰色模型预测了浸矿周期,为溶浸采矿理论与技术提供了一种新的研究和探讨方法.","溶浸采矿,浸出,质量浓度,时间序列分配,相空间重构,混沌理论,预测方法"
基于LSTM–PPO算法的多机空战智能决策及目标分配,"丁云龙,匡敏驰,朱纪洪,祝靖宇,乔直",针对传统多机空战中智能决效率低、难以满足复杂空战环境的需求以及目标分配不合理等问题. 本文提出一种基于强化学习的多机空战的智能决策及目标分配方法. 使用长短期记忆网络（Long short-term memory，LSTM）对状态进行特征提取和态势感知，将归一化和特征融合后的状态信息训练残差网络和价值网络，智能体通过近端优化策略（Proximal policy optimization，PPO）针对当前态势选择最优动作. 以威胁评估指标作为分配依据，计算综合威胁度，优先将威胁值最大的战机作为攻击目标. 为了验证算法的有效性，在课题组搭建的数字孪生仿真环境中进行4v4多机空战实验. 并在相同的实验环境下与其他强化学习主流算法进行比较. 实验结果表明，使用LSTM–PPO算法在多机空战中的胜率明显优于其他主流强化学习算法，验证了算法的有效性.,"多机空战,智能决策,近端优化策略,威胁评估,目标分配"
