标题,作者,摘要,关键词
基于深度学习的矿石图像处理研究综述,"王伟,李擎,张德政,栗辉,王昊",聚焦于矿石勘探和将矿石破碎筛分后的皮带运输两个环节，系统总结了深度学习技术在矿石图像处理中的主要应用，包括矿石分类、粒度分析和异物识别等任务，并分门别类地梳理了完成以上三大任务的常用算法及其优缺点。其中，矿石分类在地质勘探中起着重要作用；粒度分析能为破碎机和传送皮带的控制提供参考依据，还能识别出给矿皮带上过大尺寸的矿石，防止处于给矿皮带和受矿皮带之间的转运缓冲仓内发生堵料事故；异物识别能将皮带上混在矿石中的有害物品检测出来。,"深度学习,矿石图像处理,矿石分类,粒度分析,异物识别"
深度学习在炼钢过程中的研究进展及应用现状,"王仲亮,顾超,王敏,包燕平",炼钢过程是极其复杂的工业场景，影响因素多且安全性要求极高，是当前深度学习尚未大规模应用的领域之一。在对深度学习的原理和类型进行梳理的基础之上，结合国内外应用实例，总结了深度学习在炼钢过程中的发展历程与研究现状。指出了深度学习在炼钢过程中应用主要有特征提取简单、泛化能力强、模型可塑性高的优势，同时也面临数据依赖性高、预处理难度大、生产安全性有待验证的挑战。提出了未来随着高精度传感器的应用、物联网的普及、计算硬件的迭代、以及算法的创新，深度学习模型可以更加有效地应用于炼钢的更多场景中，将推动冶金工业智能化发展。,"炼钢过程,深度学习,神经网络,应用场景,数据处理,非线性,智能化"
深度学习在电力系统预测中的应用,"苗磊,李擎,蒋原,崔家瑞,王义轩",电力系统预测主要包括负荷预测、出力预测以及健康状态预测等。通过负荷预测，可以优化电力生产规划，从而更好地实现电能的精细化分配；通过出力预测，可以有效提升新能源电力消纳能力，实现电能的充分及合理利用；通过电力设备健康状态预测，可以及时发现设备运行隐患，从而进一步保障电力系统平稳安全运行。深度学习凭借其卓越的特征分析和预测能力，被广泛应用于电力系统运行及维护。本文首先归纳介绍了电力系统预测深度学习模型的特点、适用场景；其次，梳理了深度学习在面向民用及工业场景负荷预测、光伏及风电出力预测、机械及非机械设备健康状态预测中的应用前沿；最后，对深度学习在电力系统预测中所面临的关键问题、发展趋势进行了总结和展望。,"电力系统,深度学习,负荷预测,出力预测,健康状态预测"
深度学习在磁共振影像脑疾病诊断中的应用,"朱健椿,魏嘉昕,毛浚彬,刘坤,何鸿宇,刘锦",由于脑疾病的发生会对社会产生严重危害，所以脑疾病诊断研究的重要性日益显著. 中国“脑计划”列入“十三五”规划与国务院《“健康中国2023”规划纲要》的印发表明国家对脑疾病诊疗问题的高度重视. 由于磁共振影像的高分辨率及非入侵性等优势使其成为脑疾病研究与临床检查的主要技术手段，为脑疾病诊断提供丰富的数据基础.深度学习由于其可拓展性与灵活性在各个领域得到广泛应用，展现出巨大的发展潜力. 本文针对深度学习在典型脑疾病诊断中的应用进行综述，结构组织如下：首先对深度学习在自闭症、精神分裂症、阿尔兹海默症三种典型脑疾病诊断上的应用进行了阐述；然后对用于三种脑疾病研究的数据集和已有的开源工具进行了汇总；最后对深度学习在磁共振影像脑疾病诊断应用中的局限性及未来发展方向进行总结与展望.,"磁共振影像,深度学习,脑疾病,自闭症,精神分裂症,阿尔兹海默症"
基于深度学习的行人重识别方法综述,"李擎,胡伟阳,李江昀,刘艳,李梦璇",对深度学习在行人重识别领域的应用现状进行总结与评价。首先，对行人重识别进行介绍，包括行人重识别的应用场景、数据集与评价指标，并对基于深度学习的行人重识别的基本方法进行总结。之后，针对行人重识别的研究现状，将近年来国内外学者的研究工作归纳为基于局部特征、基于生成对抗网络、基于视频以及基于重排序4个方向，并对每个方向所使用的方法分别进行梳理、性能对比以及总结。最后，对行人重识别领域现存的问题进行了分析与讨论，并探讨了行人重识别未来的发展方向。,"深度学习,行人重识别,局部特征,生成对抗网络,视频数据,重排序"
基于深度学习的装备剩余寿命区间预测研究进展,"陈闯,李先锋,史建涛",深度学习因其强大的特征提取能力，在装备剩余寿命预测中得到了广泛应用. 然而，深度学习的预测结果往往受到随机噪声、建模参数等因素影响，极大降低了点预测的可信度，进而引发甚至导致装备运行崩溃. 因此，精确的剩余寿命区间预测对于理解装备退化过程的随机性以及进行可靠的风险分析和维护决策至关重要. 本文面向深度学习背景下装备剩余寿命预测建模中不确定性量化的现实需求，重点介绍并归纳了自举深度学习、局部不确定性、随机过程深度学习、贝叶斯深度学习以及深度学习分位数回归5种先进剩余寿命区间预测模型的发展动态、优势和缺点，进而探讨了基于深度学习的装备剩余寿命区间预测研究中面临的挑战性问题以及未来潜在的研究方向.,"寿命预测,区间预测,不确定性,深度学习,维护决策"
基于深度学习的移动机器人定位与建图研究综述,"李擎, 邵圣, 马靖超, 王恒(通讯作者)",近年来，深度学习技术在移动机器人同时定位与建图（Simultaneous Localization and Mapping）领域取得了显著进展，为解决传统视觉SLAM在动态环境下面临的挑战提供了新的思路。本文首先总结了传统视觉SLAM在预处理，视觉里程计以及闭环检测模块的局限性。随后，聚焦于深度学习在视觉SLAM中的应用，重点介绍了基于深度学习的预处理，视觉里程计以及闭环检测模块，以及其如何提升视觉SLAM的鲁棒性和精度。最后，文章还探讨了基于深度学习SLAM面临的挑战并展望了未来研究方向，包括轻量化网络设计、场景的长期建模以及自监督学习等，以推动深度学习SLAM在实际应用中的落地。,"深度学习,移动机器人,视觉SLAM,视觉里程计,闭环检测"
5G环境下基于深度学习的云化PLC物料识别与定位系统,"付美霞,王健全,王曲,孙雷,马彰超,张超一,管婉青,李卫",为了解决智能制造领域中云化控制与视觉分选应用相结合的问题，提出了基于深度学习的云化可编程逻辑控制器（Programmable logic controller，PLC）物料识别与定位系统，并在端到端5G与时间敏感网络（Time sensitive networking，TSN）传输网络环境下，实现了对云化PLC架构和控制功能有效性的验证。首先，将传统PLC系统控制功能容器虚拟化，实现PLC的本地和云端自由部署；其次，在云端设计人工智能学习平台，采用基于You only look once v5 （YOLOv5）的目标检测算法实现物料的定位和分类，获取目标的像素坐标和类别信息；然后，利用相机标定方法把像素坐标转换成物理世界坐标，并将目标类别、坐标、时间戳信息传输到云化PLC；最后，在5G和TSN融合网络环境下，实现云化PLC对天车设备的实时控制与复杂计算功能整合。结果表明，该系统能够有效的对多天车进行协同控制，物料定位均值平均精度（Mean average precision，mAP）达到99.65%，分选准确率达到96.67%，平均消耗时间225.99 s，满足工业低时延、高精度的视觉分选需求。,"智能制造,视觉分选,深度学习,云化可编程逻辑控制器,5G,时间敏感网络"
基于深度学习的高效火车号识别,"王志明,刘志辉,黄洋科,邢宇翔",基于高性能的YOLOv3目标检测算法，提出一种分阶段高效火车号识别算法。整个识别过程分为两个阶段：第一阶段在低分辨率全局图像中检测出火车号区域位置；第二阶段在局部高分辨率图像中检测出组成火车号的字符，根据字符的空间位置关系搜索得到12位火车号，并利用每个字符的识别置信度及火车号编码规则进行校验得到最终火车号。另外，本文提出一种结合批一化因子和滤波器相关度的剪枝算法，通过对两个阶段检测模型的剪枝，在保证识别准确率不降（实验中略有提升）的条件下降低了存储空间占用率和计算复杂度。在现场采集的1072幅火车号图像上的实验结果表明，本文提出的火车号识别算法达到了96.92%的整车号识别正确率，平均识别时间仅为191 ms。,"模式识别,火车号识别,深度学习,神经网络,目标检测,模型剪枝"
基于深度学习的人体低氧状态识别,"于露,金龙哲,王梦飞,徐明伟","通过低氧实验提出一种快速识别人体低氧状态的方法.通过搭建深层神经网络训练实验数据识别氧气体积分数(16%~21%)与人体可耐受极端低氧气体积分数(15.5%~16%)条件下光电容积脉搏波(photoplethysmography, PPG)信号, 获得人体生理状态的模式识别网络.经测试该网络的识别正确率可达92.8%.利用混淆矩阵及接受者操作性能(receiver operating characteristic, ROC)曲线分析, 混淆矩阵的训练集、验证集、测试集、全集识别正确率分别达到97.9%、94.8%、92.8%和96.3%, AUC (area under curve)值接近1, 认为该网络分类性能优良, 并且可在4 s内完成整个识别过程.","有限空间,低氧伤害,光电容积脉搏波,深度学习,状态识别"
