标题,作者,摘要,关键词
基于知识的广义优化方法,"万军,涂序彦","传统的优化方法在描述能力、建模方法、方法实现和模型数据的分析等方面都存在着局限性,需要引入新的思路.针对上述问题,提出了基于知识的广义优化方法,给出了广义优化中知识概念、优化问题的描述,以及基于知识的广义优化方法的一般求解过程.其基本方法是在优化问题知识模型的基础上,建立基于知识的广义优化算法,通过知识系统的约简,得到用于制定优化方案的决策规则.同时给出了基于知识的广义优化方法在在锅炉燃烧优化问题中的应用示例,说明了方法的有效性.","知识,广义优化,锅炉燃烧"
企业知识传播模型的改进研究,"蔡卫民,武德昆,高俊山","分析了徐渝的知识传播模型,指出该模型阐述的规律适用于知识在企业中自然增长的状况,而考虑企业对知识传播的努力因素时该模型就不再适用．在分析企业努力进行知识传播机理的基础上,对知识传播模型进行了改进．改进后的模型认为如果企业努力传播某项知识,则会要求非知识拥有者都参加培训、进行学习,从而知识拥有者数量的增长速度与企业中非知识拥有者数量成正比,随着知识的不断传播,企业的知识传播将遵循先快后慢的增长规律．","企业知识,知识传播,传播模型"
基于图分析的领域知识获取技术,"张德政,阿孜古丽,刘洁卉","知识获取技术制约着知识系统的研究和应用,有效地从文本中提取领域知识成为知识获取的重要途径.本文提出了基于本体和图分析的领域知识获取技术,分析了本体数据结构、本体概念的实例化以及基于图分析的语义场构造方法.建立了具有广泛适用性的文本知识获取系统框架,实现了原型系统.通过针对中医医案的中医领域知识获取实验验证,取得了较好的效果.","本体,图分析,知识获取"
知识发现系统内在机理,"杨炳儒,周颖","介绍了杨炳儒教授独立提出的知识发现系统内在机理中的3个机制——双库协同机制、双基融合机制、信息扩张机制,及在其上构建的KDD*,KDK*,KD(D&K),ESKD结构模型,并介绍了在知识表示方法、发现算法与自动评价方法等方面的创新性成果.","知识发现,体系结构,内在机理,KD(D&ampK)系统,KDD*系统,KDK*系统"
关于知识发现系统的扩展性研究,"杨炳儒,张德政","在总结和分析目前基于数据库的知识发现的理论、技术和方法现状的基础上,对知识发现的发展趋势进行了探索.介绍了在作者先前提出的基于双库协同机制的知识发现理论的基础上,就整个知识发现过程的机理、KDD扩展性结构和运行机制所进行的深入研究.","数据挖掘,知识发现,双库协同机制"
知识图谱的最新进展、关键技术和挑战,"马忠贵,倪润宇,余开航",围绕知识图谱的全生命周期技术，从知识抽取、知识融合、知识推理、知识应用几个层面展开综述，重点介绍了知识融合技术和知识推理技术。通过知识抽取技术，可从已有的结构化、半结构化、非结构化样本源以及一些开源的百科类网站抽取实体、关系、属性等知识要素。通过知识融合，可消除实体、关系、属性等指称项与实体对象之间的歧义，得到一系列基本的事实表达。通过本体抽取、知识推理和质量评估形成最终的知识图谱库。按照知识抽取、知识融合、知识推理3个步骤对知识图谱迭代更新，实现碎片化的互联网知识的自动抽取、自动关联和融合、自动加工，从而拥有词条自动化链接、词条编辑辅助功能，最终达成全流程自动化知识获取的目标。最后，讨论知识图谱未来的发展方向与可能存在的挑战。,"知识工程,知识图谱,知识融合,知识推理,知识抽取与表示"
基于广义归纳逻辑因果模型的知识发现与算法实现,"张德政,石阳,邓一,杨炳儒","以语言场、广义细胞自动机和广义归纳逻辑因果模型为理论依据,分析了广义因果联系类知识的发现机理,给出了因果联系类知识发现的实现算法.该算法为解决具有随机不确定和模糊不确定性特征的因果联系类知识的发现提供了行之有效的方法.通过算法的运行实例,验证和说明了算法的正确性和有效性.","广义逻辑归纳因果模型,广义因果联系,数据挖掘,知识发现"
基于结构模型的知识发现技术,"范玉妹,单平,艾冬梅,张德政","将一种结构建模方法用于分析知识结构中概念之间的关系,并将其用于中医医案解析,有效地获取医案中隐含的深层次的辨证论治规律.医案实例分析结果表明,由结构分析所得到的结构模型,不仅可根据系统中少量的、零散的已知概念关系推导出其他的大多数未知的概念之间的关系,并可使得已有结构关系凸现出来.结构的图分析可展现症状的关联度和重要程度,分析结果得到了医案验证和专家肯定.","系统分析,知识获取,结构建模,中医"
嵌入共识知识的因果图文检索方法,"梁彦鹏,刘雪儿,马忠贵,李卓",跨模态图像−文本检索是一项在给定一种模态（如文本）的查询条件下检索另一种模态（如图像）的任务. 该任务的关键问题在于如何准确地测量图文两种模态之间的相似性，在减少视觉和语言这两种异构模态之间的视觉语义差异中起着至关重要的作用. 传统的检索范式依靠深度学习提取图像和文本的特征表示，并将其映射到一个公共表示空间中进行匹配. 然而，这种方法更多地依赖数据表面的相关关系，无法挖掘数据背后真实的因果关系，在高层语义信息的表示和可解释性方面面临着挑战. 为此，在深度学习的基础上引入因果推断和嵌入共识知识，提出嵌入共识知识的因果图文检索方法. 具体而言，将因果干预引入视觉特征提取模块，通过因果关系替换相关关系学习常识因果视觉特征，并与原始视觉特征进行连接得到最终的视觉特征表示. 为解决本方法文本特征表示不足的问题，采用更强大的文本特征提取模型BERT（Bidirectional encoder representations from transformers，双向编码器表示），并且嵌入两种模态数据之间共享的共识知识对图文特征进行共识级的表示学习. 在MS-COCO数据集以及MS-COCO 到Flickr30k上的跨数据集实验，证明了本文方法可以在双向图文检索任务上实现召回率和平均召回率的一致性改进.,"因果推断,图像−文本检索,跨模态,计算机视觉,自然语言处理"
数据发掘与数据库中知识发现,"杨炳儒,刘发升","对数据发掘发展的研究现状及知识发现系统的研究趋势进行分析与探索,在此基础上从一般框架和特定问题的结合上提出新的构想.","数据发掘,数据库,知识库,知识发现系统"
应用神经网络建立采矿经验知识库,"李英龙,童光煦","应用神经网络建立了获取采矿方法选择时所需的主要技术经济指标的采矿经验知识库,并以普通全面法为例,描述建造BP网络模型的过程.研究结果表明:利用这个采矿经验知识库,就可以根据采矿方法的工程背景,求得它的主要技术经济指标.","采矿工程,神经网络/知识库,BP模型"
面向少样本的知识与数据的跨模态特征融合模型,"柒传江,王成猛,邵立珍,付冬梅,周珂,赵志毅",在少样本学习中，纯数据驱动式学习容易出现过拟合和泛化能力下降等问题，而知识与数据的融合不足也会导致模型性能受限. 因此，本文针对少样本学习问题，提出了一种深度跨模态特征融合模型（KDFM）以融合领域知识和结构化数据特征，进而提升下游任务的性能. KDFM采用多特征交互框架：首先，基于知识图谱建模领域中用语义表达的知识的模态，利用TransE算法提取知识节点的嵌入表示；其次，将结构化的数据模态映射为图网络，通过多通道图卷积网络捕捉特征间的高阶关联；最后，设计注意力机制动态对齐知识嵌入与数据特征，实现跨模态信息的自适应融合. 本文将所提模型分别在材料回归和医学分类两个少样本数据集上进行了验证. 相比其他纯数据驱动的模型，所提模型在各项回归和分类任务上均取得了较好的结果. 消融实验结果表明了所提模型的知识建模部分和跨模态融合部分的有效性. 这也说明KDFM通过多特征协同建模与高效融合策略，在一定程度上解决了少样本下模型泛化能力弱，知识与数据模态融合困难的问题.,"少样本,混合驱动,知识图谱,图卷积网络,特征融合"
用神经网络技术建造碳钢和低合金钢大气腐蚀知识库,"栾艳冰,李顺华,屈祖玉","简要介绍了传统专家系统知识库所存在的问题,提出了一个基于神经网络的碳钢和低合金钢大气腐蚀知识库系统,并着重阐述了这种新型知识库系统的知识获取、知识表示和系统的实现等问题.","神经网络,专家系统,知识库,大气腐蚀,碳钢和低合金钢"
多智能体技术在基于双库协同机制的知识发现KDD*模型设计中的应用,"游福成,马文秀,杨炳儒","KDD*模型是基于双库协同机制的知识发现新模型,是结构化数据挖掘领域研究的一个新的分支.为了进一步提高KDD*的智能性,设计了一个基于Multi-agent技术的智能数据挖掘系统.利用多智能体技术,实现了数据预处理、数据挖掘、知识的自动获取、基础数据库与知识库的同步进化与协调、知识的评价与表示等功能.","知识发现,多智能体,数据挖掘"
