标题,作者,摘要,关键词
神经网络PID控制,"杜建凤,崔勇,张寒松,严忠慧","以工业PID控制中控制器参数调整困难为背景,在分析神经网络特性的基础上,提出神经网络控制方法,设计了具有自适应性的神经网络PID控制器。在描述了神经网络的学习机理的基础上,给出了控制器控制算法。通过2个实例验证了神经网络在线控制的可行性。","神经网络,学习机理,控制算法"
基于神经网络的动态矩阵控制,"石中锁,孙一康,舒迪前","利用神经网络优化性能指标实现了动态控制,并给出了计算机模拟实例。","控制/动态矩阵控制,神经网络,Hopfield网络"
神经网络在自适应滤波中的应用,"李连源,王绍纯",利用神经网络对白噪声、红噪声和正弦波进行辨识.进而采用单片机对以上3种噪声和尖峰脉冲干扰进行自适应滤波处理.实验结果表明该方案正确.,"神经网络,自适应滤波器,单片机"
基于FPGA的神经网络硬件实现方法,"李昂,王沁,李占才,万勇","提出了一种可以灵活适应不同的工程应用中神经网络在规模、拓扑结构、传递函数和学习算法上的变化,并能及时根据市场需求快速建立原型的神经网络硬件可重构实现方法.对神经网络的可重构特征进行了分析,提出了三种主要的可重构单元;研究了可重构的脉动体系结构及BP网络到该结构映射算法;探讨了具体实现的相关问题.结果表明,这种方法不仅灵活性强,其实现的硬件也有较高的性价比,使用一片FPGA中的22个乘法器工作于100MHz时,学习速度可达432MCUPS.","神经网络,FPGA,可重构,脉动阵列"
铁水含硅量预报神经网络模型,"杨尚宝,杨天钧,董一诚","针对我国高炉的检测水平,采用人工神经网络的方法建立了一种用于铁水含硅量预报的神经网络模型。该模型具有良好的适应性和自学习功能。","高炉,含硅量,预报,神经网络,模型"
基于人工神经网络铝箔轧机轧制力模型,"王邦文,杨光,徐峰,李谋谓,刘圣明,王国平",采用BP神经网络原理对1350mm铝箔轧机轧制数据重新处理，建立了基于人工神经网络的轧制力模型.结果表明，用人工神经网络轧制力模型的计算值与实测值相比较偏差<3%.该模型较真实地反映了轧制过程的特征.,"神经网络,铝箔,轧制力模型"
利用神经网络进行综合机构的建模和控制,"袁中凡,廖俊必,赵世平","介绍了逆模型超前控制器,神经网络反馈单元及由5层神经网络组成的集成控制系统.集成控制系统包括一个由神经网络组成的系统模型和具有自调整功能的控制单元.该方法被用于优化设计的综合机构控制仿真,结果证明了它的先进性和可行性.","综合机构,控制器,神经网络"
神经网络在汉语语音识别中的应用,"吴谨,王绍纯","论述了基于神经网络模型的特定人汉语语音识别,并建立了一基于3层BP神经网络的汉语语音识别系统.对汉语10个数字(1~10)进行识别实验,获得了较满意的识别结果.","语音识别,神经网络,特定人,汉语"
基于神经网络的自适应故障模式分类方法,"潘紫微,徐金梧","在深入研究APT-2神经网络结构的基础上,提出了一种基于神经网络的自适应故障模式分类方法,并应用在轴承故障诊断中,结果表明:该方法对轴承故障模式具有自学习、快速稳定的识别能力。","故障诊断,神经网络,轴承,模式识别,ART-2网络"
基于人工神经网络的扁钢轧制力模型,"赵伦,王邦文,韩素梅","根据BP人工神经网络算法原理,结合某厂型钢轧机轧制扁钢时的轧制力实测数据,对扁钢轧制力进行建模.结果表明,神经网络用于轧制力建模是可行的,所建模型系统误差<1%,模型计算值与实测值的偏差<4%,较好地反映了实际轧制过程的特征.","系统建模,神经网络,轧制力模型"
